Number,Name,CityTown,StateTerritory,YearEstablished
1,Bapu Museum,Vijayawada,Andhra Pradesh,1887
2,Bhagwan Mahavir Government Museum,Kadapa,Andhra Pradesh,1982
3,Chandavaram Buddhist site,"Chandavaram, Prakasam district",Andhra Pradesh,1980
4,Kursura Submarine Museum,Visakhapatnam,Andhra Pradesh,2002
5,Telugu Samskruthika Niketanam,Visakhapatnam,Andhra Pradesh,2015
6,TU 142 Aircraft Museum,Visakhapatnam,Andhra Pradesh,2017
7,Victory at Sea War memorial,Visakhapatnam,Andhra Pradesh,1971
8,Visakha Museum,Visakhapatnam,Andhra Pradesh,1991
9,Jawaharlal Nehru Museum,Itanagar,Arunachal Pradesh,1980
10,Shankardev Kalakshetra,Guwahati,Assam,2024
11,Assam State Museum,Guwahati,Assam,1940
12,Mayong Central Museum and Emporium,Mayong,Assam,2002
13,Bhartiya Nritya Kala Mandir,Patna,Bihar,1963
14,Bihar Museum,Patna,Bihar,2015
15,Jalan Museum,Patna,Bihar,1919
16,Patna Museum,Patna,Bihar,1917
17,Chandradhari Museum,Darbhanga,Bihar,1957
18,Rajendra Smriti Sangrahalaya,Patna,Bihar,1963
19,Shrikrishna Science Centre,Patna,Bihar,1978
20,Gandhi Sangrahalaya,Patna,Bihar,1967
21,Government Museum and Art Gallery,Chandigarh,Chandigarh,1968
22,Goa Chitra Museum,Benaulim,Goa,2010
23,Big Foot Museum,Loutolim,Goa,
24,Ashvek Vintage World,Nuvem,Goa,2004
25,Archaeological Museum and Portrait Gallery,Old Goa,Goa,
26,Museum of Christian Art,Old Goa,Goa,
27,Goa Science Centre,Panaji,Goa,
28,Goa State Museum,Panaji,Goa,1977
29,Museum of Goa,Pilerne,Goa,2015
30,Naval Aviation Museum (India),Vasco da Gama,Goa,1998
31,Calico Museum of Textiles,Ahmedabad,Gujarat,1949
32,Conflictorium,Ahmedabad,Gujarat,2013
33,Gandhi Smarak Sangrahalaya,Ahmedabad,Gujarat,
34,Gujarat Science City,Ahmedabad,Gujarat,
35,Lalbhai Dalpatbhai Museum,Ahmedabad,Gujarat,1984
